Inter-sample gap (us): 50
Inter-average gap (us): 1500
Samples averaged: 20
Format: micros(), A0, A1 
62281599,62283571,32879,33808
62285226,62287199,33704,33926
62288852,62290823,33392,34281
62292477,62294450,33081,32458
62296105,62298078,33863,34027
62299732,62301703,33039,33580
62303356,62305328,33757,32996
62306981,62308952,33290,33225
62310605,62312579,33678,33675
62314231,62316203,33207,34663
62317857,62319829,33722,33466
62321483,62323456,33248,34040
62325111,62327084,33560,33763
62328738,62330709,32869,34272
62336346,62338315,32732,33766
62339968,62341941,33059,34603
62343594,62345567,33820,34277
62347220,62349189,33198,33723
62350842,62352814,32451,33059
62354467,62356438,32932,33423
62358093,62360065,33193,34131
62361717,62363691,32194,34565
62365344,62367315,33078,32786
62368968,62370941,32315,33751
62372593,62374566,33447,33786
62376220,62378189,32982,33056
62379842,62381812,33409,33078
62383465,62385436,33278,33938
62387092,62389065,33742,33675
62390718,62392691,33502,34650
62398216,62400186,33037,34179
62401839,62403809,33547,33489
62405462,62407435,33286,33600
62409090,62411065,33372,34508
62412718,62414691,33597,34503
62416344,62418315,33255,34368
62419968,62421941,33596,33254
62423594,62425567,33587,33477
62427220,62429191,33180,34479
62430844,62432816,32992,34465
62434469,62436440,33523,33531
62438095,62440066,33610,33256
62441718,62443692,33176,34466
62445346,62447317,33521,34171
62448970,62450943,33339,33853
62452596,62454569,32716,33265
62456222,62458195,33564,34360
62463725,62465696,33198,33778
62467348,62469319,33591,33666
62470971,62472944,33675,33160
62474597,62476570,33179,34006
62478224,62480197,33028,34597
62481850,62483820,32872,34402
62485473,62487444,33152,33139
62489098,62491071,31616,33740
62492723,62494694,33280,33853
62496348,62498319,33124,33535
62499971,62501944,33262,33926
62503597,62505570,33040,34264
62507224,62509197,32930,34270
62510850,62512820,33411,34550
62514473,62516443,33443,34520
62518098,62520070,33864,34054
62525591,62527565,34065,33937
62529218,62531188,33138,34068
62532840,62534809,31910,34032
62536462,62538435,33687,34632
62540090,62542064,33337,33950
62543717,62545690,33708,33762
62547344,62549315,32913,32848
62550968,62552941,33836,33714
62554595,62556568,32151,33907
62558222,62560195,32977,33619
62561848,62563820,33295,34288
62565473,62567444,33264,34481
62569100,62571073,33820,34377
62572726,62574697,34035,34248
62576350,62578320,33972,33934
62579973,62581946,32473,33773
62583599,62585572,33580,33947
62591089,62593062,33320,34017
62594715,62596688,33987,34545
62598342,62600313,33654,32718
62601966,62603937,33015,33679
62605591,62607565,33207,34509
62609218,62611190,33128,34213
62612843,62614814,33457,33845
62616468,62618438,33926,33535
62620094,62622065,33702,34355
62623718,62625691,33806,33840
