Inter-sample gap (us): 50
Inter-average gap (us): 50
Samples averaged: 4
Format: micros(), A0, A1 
28866244,1646,2238
28866725,1310,1342
28867209,1250,1264
28867691,1260,1250
28868171,1400,1324
28868655,1242,1326
28869136,1234,1274
28869616,1256,1256
28870098,1232,1316
28870577,1238,1260
28871060,1272,1250
28871541,1414,1260
28872025,1260,1306
28872508,1228,1268
28872990,1306,1262
28873472,1230,1256
28873954,1302,1328
28874436,1248,1266
28874917,1292,1328
28875401,1244,1262
28875881,1238,1260
28929341,1674,1982
28929823,1364,1330
28930305,1256,1264
28930787,1230,1262
28931270,1308,1258
28931752,1264,1310
28932235,1246,1270
28932718,1316,1290
28933199,1242,1342
28933681,1310,1310
28934162,1320,1288
28934643,1250,1314
28935123,1238,1276
28935605,1234,1270
28936087,1232,1352
28936570,1282,1332
28937052,1318,1358
28937533,1274,1330
28938013,1312,1268
28938496,1240,1344
28938978,1250,1400
28939462,1254,1414
28939943,1232,1280
28940426,1270,1252
28940907,1284,1320
28941388,1254,1256
28987252,1638,1888
28987733,1404,1318
28988216,1332,1258
28988699,1260,1252
28989181,1314,1254
28989662,1294,1296
28990143,1258,1298
28990623,1244,1322
28991105,1250,1312
28991586,1240,1276
28992065,1236,1266
28992548,1290,1262
28993028,1272,1324
28993510,1244,1296
28993991,1232,1290
28994473,1246,1294
28994955,1244,1284
28995435,1286,1266
28995917,1278,1312
28996399,1246,1366
28996881,1250,1306
28997364,1308,1298
28997847,1328,1298
28998328,1252,1296
28998811,1214,1408
28999320,1228,1294
28999802,1250,1256
29000285,1240,1308
29000766,1240,1274
29001247,1236,1264
29001729,1304,1254
29002212,1250,1314
29002694,1236,1264
29003177,1266,1302
29003661,1268,1264
29004143,1292,1258
29004624,1340,1260
29005106,1330,1384
29005587,1234,1268
29006067,1232,1256
29006549,1316,1258
29007028,1256,1256
29007509,1300,1290
29007992,1238,1412
29008476,1304,1272
29008957,1258,1250
29009438,1390,1322
29009919,1244,1270
29010400,1298,1258
29010880,1330,1350
29011362,1338,1374
29011877,1248,1274
29012358,1306,1258
29012840,1242,1350
29013323,1320,1362
29013804,1254,1284
29014286,1238,1330
29014767,1236,1328
29015249,1242,1336
29015731,1248,1262
29016214,1238,1306
29016695,1240,1274
29017176,1274,1256
29017659,1270,1338
29018142,1248,1360
29018622,1318,1284
29019105,1240,1328
29019587,1226,1322
29020069,1232,1272
29020552,1240,1284
29021034,1248,1344
29021515,1238,1318
29021997,1230,1320
29022480,1232,1274
29022964,1238,1254
29023445,1250,1260
29023953,1236,1258
29024436,1234,1286
29024917,1252,1294
29025399,1242,1296
29025879,1234,1300
29026361,1240,1262
29026843,1232,1308
29027325,1246,1274
29027808,1308,1256
29028288,1244,1266
29028770,1232,1264
29029253,1302,1254
29029735,1328,1318
29030216,1252,1274
29030696,1310,1264
29031176,1256,1268
29031659,1248,1260
29032140,1244,1262
29032621,1244,1254
29033103,1236,1324
29033586,1298,1312
29034064,1282,1284
29034544,1244,1268
29035028,1358,1350
29035510,1266,1310
29035992,1240,1296
29036507,1246,1348
29036988,1232,1266
29037470,1224,1322
29037951,1232,1260
29038432,1248,1262
29038915,1298,1262
29039397,1250,1254
29039878,1300,1260
29040358,1310,1322
29040840,1338,1314
29041321,1250,1288
29041804,1230,1388
29042284,1250,1292
29042765,1288,1264
29043246,1282,1324
29043727,1240,1326
29044210,1232,1262
29044690,1242,1320
29045172,1356,1280
29045655,1288,1318
29046134,1246,1276
29046616,1308,1264
29047098,1254,1312
29047580,1248,1380
29048063,1238,1360
29048545,1242,1318
29049056,1306,1304
29049537,1324,1298
29050019,1258,1354
29050501,1298,1276
29050981,1310,1270
29051464,1236,1318
29051944,1324,1266
29052427,1274,1252
29052910,1344,1320
29053391,1376,1270
29053872,1270,1330
29054353,1250,1256
29054833,1230,1268
29055313,1234,1262
29055795,1246,1260
29056276,1376,1266
29056758,1260,1252
29057238,1306,1318
29057720,1248,1266
29058200,1254,1254
29058680,1248,1260
29059162,1238,1254
29059642,1238,1324
29060123,1314,1270
29060605,1250,1296
29061191,1246,1340
29061674,1314,1298
29062156,1246,1326
29062639,1238,1324
29063121,1238,1264
29063604,1244,1328
29064087,1242,1296
29064568,1248,1350
29065050,1298,1318
29065531,1252,1304
29066012,1324,1332
29066495,1254,1328
29066978,1228,1256
29067462,1228,1304
29067944,1232,1340
29068426,1242,1362
29068908,1300,1298
29069390,1248,1322
29069872,1288,1310
29070353,1260,1276
29070837,1240,1306
29071318,1250,1274
29071799,1276,1262
29072280,1262,1312
29072760,1242,1280
29073243,1318,1266
29125993,1644,1944
29126476,1310,1406
29126958,1294,1346
29127441,1284,1324
29127924,1244,1262
29128404,1240,1268
29128886,1240,1322
29129368,1242,1356
29129849,1286,1318
29130332,1276,1302
29130813,1236,1302
29131296,1242,1268
29131776,1290,1272
29132259,1278,1326
29132741,1234,1324
29133223,1234,1270
29133704,1308,1270
29134185,1324,1312
29134668,1282,1274
29135151,1260,1256
29135632,1274,1292
29136114,1274,1288
29136598,1240,1342
29137080,1280,1338
29137562,1322,1294
29138080,1314,1256
29138563,1250,1316
29139044,1242,1274
29139527,1312,1346
29140007,1266,1372
29140488,1278,1324
29140970,1272,1268
29141453,1310,1258
29141933,1262,1254
29142415,1308,1338
29142898,1248,1400
29143381,1306,1344
29143862,1332,1298
29144344,1264,1322
29144825,1250,1276
29145305,1236,1326
29145789,1242,1384
29146270,1252,1320
29146751,1248,1292
29147233,1236,1272
29147714,1238,1326
29148197,1232,1350
29148679,1322,1306
29149161,1292,1256
29149641,1282,1258
29150123,1248,1438
29150631,1264,1356
29151114,1250,1384
29151595,1240,1290
29152077,1300,1314
29152559,1234,1314
29153041,1246,1270
29153524,1234,1248
29154005,1228,1372
29154486,1298,1286
29154969,1242,1312
29155451,1248,1274
29155933,1274,1258
29156416,1262,1306
29156895,1250,1338
29157377,1322,1338
29157858,1258,1266
29158340,1238,1308
29158822,1236,1280
29159302,1412,1268
29159784,1314,1306
29160264,1252,1298
29160746,1230,1262
29161227,1240,1260
29161708,1356,1262
29162191,1276,1312
29162672,1276,1274
29163188,1276,1326
29163670,1246,1330
29164153,1292,1268
29164635,1264,1260
29165117,1320,1390
29165599,1312,1266
29166082,1310,1310
29166564,1240,1284
29167048,1310,1254
29167531,1320,1256
29168011,1246,1256
29168495,1300,1318
29168976,1244,1298
29169458,1244,1292
29169942,1306,1256
29170423,1244,1244
29170906,1300,1318
29171387,1240,1352
29171867,1260,1318
29172349,1254,1390
29172831,1230,1280
29173313,1288,1258
29173794,1258,1260
29174277,1370,1258
29174759,1272,1258
29175267,1234,1260
29175750,1242,1254
29176232,1244,1320
29176714,1356,1274
29177198,1276,1262
29177679,1234,1314
29178161,1290,1276
29178643,1250,1264
29179126,1242,1258
29179609,1276,1262
29180091,1268,1292
29180571,1250,1424
29181052,1328,1282
29181535,1232,1260
29182017,1240,1252
29182498,1300,1258
29182979,1238,1322
29183460,1260,1262
29183941,1252,1258
29184423,1230,1258
29184905,1234,1384
29185388,1276,1300
29185870,1342,1292
29186351,1332,1266
29186834,1310,1264
29187315,1272,1260
29236910,1598,1932
29237391,1300,1406
29237872,1220,1354
29238354,1296,1310
29238834,1328,1326
29239316,1258,1264
29239797,1238,1320
29240278,1286,1266
29240761,1284,1252
29241243,1254,1250
29241726,1236,1256
29242208,1234,1370
29242688,1284,1290
29243170,1326,1330
29243652,1282,1312
29244134,1244,1330
29244614,1314,1290
29245097,1250,1294
29245578,1304,1296
29246060,1252,1264
29246543,1230,1258
29247025,1236,1266
29247508,1310,1256
29247989,1338,1324
29248470,1330,1266
29248979,1242,1266
29249461,1302,1262
29249942,1262,1262
29250425,1242,1314
29250906,1310,1318
29251388,1238,1266
29251870,1312,1250
29252352,1250,1250
29252832,1248,1256
29253315,1270,1260
29253793,1278,1266
29254273,1316,1262
29254755,1262,1352
29255237,1308,1298
29255718,1304,1260
29256198,1298,1262
29256679,1284,1262
29257160,1242,1292
29257642,1236,1290
29258125,1228,1262
29258607,1236,1258
29259089,1316,1290
29259571,1252,1284
29260050,1240,1330
29260532,1286,1390
29261015,1280,1266
29261530,1352,1300
29262012,1290,1294
29262494,1280,1326
29262975,1280,1328
29263456,1256,1278
29263938,1242,1322
29264421,1240,1266
29264903,1236,1260
29265383,1236,1334
29265865,1248,1266
29266346,1248,1266
29266827,1238,1258
29267309,1312,1318
29267792,1318,1364
29268274,1268,1372
29268757,1308,1356
29269238,1286,1306
29269721,1258,1260
29270202,1302,1310
29270684,1248,1318
29271166,1308,1270
29271649,1250,1292
29272129,1292,1292
29272609,1262,1266
29273091,1248,1362
29273573,1248,1304
29274083,1238,1264
29274563,1242,1268
29275044,1292,1262
29275526,1352,1322
29276007,1250,1260
29276488,1362,1296
29276968,1312,1304
29277449,1286,1268
29277931,1238,1260
29278414,1360,1326
29278895,1260,1326
29279377,1244,1312
29279859,1300,1294
