Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
65997204,33851,34171
65999779,33887,33788
66002357,33378,32736
66004934,32949,33738
66007512,33449,32967
66010089,32809,34039
66012669,32972,34080
66015246,33470,34208
66017825,33662,33334
66020402,32628,33954
66022979,32709,34524
66025558,34025,34039
66028137,34060,33587
66030715,33238,34236
66033294,33558,34535
66035873,32060,33883
66038452,33177,33287
66041029,33688,33304
66043606,33575,33315
66049932,33944,32606
66052511,33616,33411
66055088,33501,34633
66057666,33042,32815
66060244,32546,33528
66062821,33185,34143
66065398,33658,34092
66067975,32973,34245
66070553,33194,33828
66073131,33029,33817
66075707,33624,34233
66078284,32357,34045
66080862,32584,31822
66083441,32624,32805
66086018,33288,34651
66088595,33051,33864
66091173,33390,33321
66093750,33717,33641
66096327,33332,34439
66098904,33864,34542
66101482,32956,33633
66104060,33067,33604
66106638,33741,33578
66113087,32611,33974
66115666,32855,33313
66118245,33620,33792
66120821,33175,33664
66123398,33757,33715
66125975,33381,32592
66128553,33126,34597
66131131,32997,33253
66133707,32044,33790
66136284,32748,33807
66138863,33915,33992
66141441,33566,34337
66144018,33081,33880
66146595,32771,34035
66149173,33866,34291
66151750,33430,34328
66154327,33031,33837
66156904,33676,34518
66159483,33623,34532
66162061,33716,34362
66164638,33766,33792
66167215,33490,34284
66169791,33655,34059
66172369,33116,33619
66178838,32799,33347
66181415,32634,34446
66183992,34030,34361
66186572,34106,34363
66189149,33158,33626
66191728,32791,34052
66194305,33253,33339
66196883,33903,32689
66199460,33517,34466
66202039,33290,34404
66204615,33621,33401
66207193,32736,33603
66209772,33022,34109
66212350,33631,34497
66214927,33616,33175
66217505,33658,33537
66220084,33412,33589
66222662,32804,34469
66225239,33381,34019
66227816,33197,33188
66230395,33929,34280
66232973,33628,33382
66235553,33189,33261
66242004,33371,33970
66244581,33563,33601
66247158,34034,33818
66249736,33623,34220
66252313,33360,33484
66254890,32120,33976
66257468,33979,34151
66260048,33254,34480
66262625,32988,34112
66265201,33150,34300
66267778,33169,34256
66270357,33403,34392
66272933,33909,33442
66275511,33452,34031
66278088,33115,34455
66280666,32815,34109
66283245,33411,34574
66285821,33497,33769
66288398,33165,33208
66290975,33536,32459
66293553,33230,33762
66296130,32262,33250
66298708,32893,33294
66305155,33762,34238
66307732,33586,33854
66310309,33532,33823
66312888,32452,34457
66315466,33336,33245
66318043,33738,34181
66320620,33528,33680
66323199,33531,34423
66325776,32855,34154
66328355,31984,32647
66330933,33443,34186
66333511,33230,34195
66336088,33920,34249
66338667,32737,34145
66341245,33943,34318
66343821,33266,33789
66346398,32383,33856
66348974,33642,34072
66351553,33672,34464
66354131,33493,34402
66356708,33463,33960
66359284,33867,33945
66361863,33348,34121
66368324,32908,34284
66370900,32935,34118
66373480,33757,33705
66376059,33694,34242
66378637,33253,33855
66381214,33902,34303
66383791,33641,32787
66386370,33565,33838
66388947,33439,34312
66391525,33743,34211
66394102,33144,33076
66396679,32930,34278
66399258,32143,33851
66401834,33155,33873
66404411,33129,33830
66406988,32918,34220
66409568,32714,34644
66412146,32427,33844
66414723,33593,33711
66417300,33972,34127
66419876,33354,34069
66422454,33345,34356
66425031,33748,33892
66427608,33714,34551
66434065,33248,34549
66436642,32434,32023
66439218,33308,34540
66441795,32888,33939
66444374,33976,34365
66446950,33624,34201
66449530,33542,32481
66452106,33631,33645
66454685,33527,33497
66457262,34118,34312
66459841,32797,34518
66462418,33388,33994
66464995,33174,33773
66467576,32665,34254
66470155,33159,34124
66472732,33927,34509
66475309,32173,33621
66477887,32860,34386
66480466,32454,33801
66483044,32587,34069
66485621,34001,33675
66488200,33037,33865
66490776,31511,33586
66497108,32512,34350
66499687,34042,34301
66502264,33093,32899
66504843,32617,33734
66507421,33803,33561
66509998,34060,34577
66512579,33715,34600
66515156,33185,33253
66517734,33340,32964
66520311,33626,33171
66522890,33332,34269
66525468,32168,34552
66528048,33191,33999
66530624,33520,33124
66533201,33825,34351
66535778,33967,33790
66538357,33231,33430
66540934,33693,34516
66543513,33893,34690
66546091,32319,32533
66548669,33782,34296
66551246,32109,34230
66553825,33376,34602
66560120,33270,34031
66562696,33693,33410
66565276,34002,33605
66567852,32663,33769
66570431,33198,34430
66573008,33640,33375
66575586,33053,33447
66578163,33807,34069
66580740,33031,34714
66583317,33546,34529
66585893,32535,34431
66588472,33145,33925
66591049,33660,33726
66593628,33991,33446
66596205,32839,34209
66598783,33952,34031
66601360,34088,33977
66603936,34020,34282
66606515,34011,33400
66609091,33150,33118
66611670,33028,34213
66614247,33628,33658
66616825,33035,34108
66623276,33177,33690
66625852,32174,33612
66628431,32696,34417
66631008,32915,33636
66633587,33320,33698
66636163,33633,34028
66638740,33671,33358
66641316,33705,34066
66643893,33556,34264
66646472,33235,33979
66649048,33527,33138
66651628,32682,34330
66654205,33252,33960
66656783,33552,34434
66659361,32700,34327
66661939,33605,33145
66664518,33966,32573
66667097,32895,34337
66669676,33513,33717
66672255,33093,33482
66674834,33803,32966
66677411,33499,33855
66679988,33210,33303
66682568,32861,34587
66689023,33555,33008
66691600,33327,33814
66694178,33451,34272
66696755,33493,34169
66699333,33920,32975
66701910,33502,33799
66704491,33419,34314
66707066,33655,33924
66709644,32357,33717
66712222,32744,34288
66714799,33733,32829
66717377,33764,33940
66719955,32321,33839
66722533,33922,34518
66725110,32437,33863
66727689,33706,33742
66730266,33170,33127
66732845,33316,34375
66735422,32865,33706
66737999,32965,33422
66740579,33672,34183
66743156,33116,33007
66745734,32178,34513
66752174,33336,33438
66754750,33025,33906
66757327,33740,34642
66759905,33438,34513
66762483,32849,33850
66765062,33269,33363
66767639,32871,33012
66770214,34040,34018
66772791,33288,34202
66775370,33588,33701
66777947,33526,34120
66780526,34069,33390
66783102,32800,34031
66785679,32831,33214
66788258,33401,34137
66790834,33403,32880
66793411,33118,34566
66795988,33635,33776
66798569,33323,33463
66801146,32828,34319
66803723,32877,33995
66806301,33555,33239
66808878,33099,34498
66815323,32703,33062
66817900,33534,33799
66820480,33251,33421
66823059,33114,33121
66825637,33504,33917
66828214,34035,32176
66830791,33517,34566
66833370,33470,34476
66835946,33353,34123
66838526,33105,33345
66841103,33176,34386
66843679,32351,33887
66846257,33975,34087
66848834,33221,32061
66851411,33872,34111
66853988,33381,33694
66856568,33154,34458
66859146,33805,32728
66861723,32957,33685
66864301,33905,34117
66866878,34001,34106
66869455,33822,34252
66872031,33678,33622
66874608,33686,34447
66881064,33308,32678
66883641,32777,33908
66886218,33820,34608
66888795,32543,33619
66891374,32722,34294
66893950,32945,34055
66896530,33101,33947
66899107,33625,33914
66901685,33712,33039
66904261,33914,33855
66906838,33890,33247
66909415,32410,34497
66911992,33351,32485
66914572,33406,34375
66917149,33172,34077
66919728,32649,33659
66922305,32340,34335
66924883,33414,33085
66927460,32362,33803
66930039,34011,34334
66932615,32978,34245
66935194,32247,34314
66937775,33532,34144
66944225,32832,33303
66946802,33715,33851
66949382,33237,33968
66951960,32269,33249
66954540,32240,34141
66957116,33034,33508
66959693,33191,34284
66962272,33530,34149
66964848,33703,34230
66967426,33269,34536
66970005,33610,34601
66972581,32967,33775
66975159,33600,33998
66977736,33528,33869
66980314,32596,34190
66982891,33671,34163
66985470,33845,34475
66988048,33312,34526
66990625,33463,33706
66993201,32749,34132
66995778,33349,32248
66998357,33659,33405
67000934,33461,34091
67007254,33555,34020
67009831,33322,33993
67012408,34077,34543
67014986,33654,33700
67017567,33365,33498
67020144,33596,33422
67022721,33632,34156
67025299,33354,33883
67027876,32607,34493
67030455,32716,33682
67033031,33185,33530
67035608,33156,34249
67038185,33165,34094
67040764,33592,33896
67043340,33602,33344
67045917,33362,34377
67048496,32278,33815
67051074,33165,33983
67053652,32709,34585
67056228,33077,34566
67058805,33602,33318
67061382,34186,34301
67063961,33274,34262
67070266,34010,33982
67072845,33236,32632
67075422,33727,33442
67077999,33871,33402
67080579,33436,33026
67083156,32868,33415
67085734,32117,33285
67088311,34035,33990
67090890,33639,34411
67093468,32826,33446
67096045,33294,33862
67098622,33900,33261
67101201,32848,33972
67103778,33060,33882
67106357,32574,33974
67108933,33699,33049
67111511,34024,34577
67114088,32647,34493
67116667,32509,33593
67119245,33711,33141
67121825,33301,34203
67124401,33345,34131
67126980,33367,34216
67129557,33919,34283
67136014,32841,34085
67138593,33264,33267
67141171,33297,33927
67143749,33245,34551
67146327,32605,34504
67148904,33704,33250
67151483,33190,33907
67154062,33545,34309
67156639,33609,33885
67159215,33379,34340
67161791,33443,34082
67164370,33500,33978
67166947,33359,34173
67169526,33999,34482
67172102,32899,33690
67174679,32708,33894
67177258,33560,33762
67179834,34102,33684
67182411,33377,34290
67184988,32606,33870
67187569,33055,34640
67190146,33223,34072
