Inter-sample gap (us): 50
Inter-average gap (us): 500
Samples averaged: 20
Format: micros(), A0, A1 
79596988,79598961,33465,34496
79599616,79601589,33561,34025
79602245,79604216,33170,34131
79604872,79606845,33491,34149
79607500,79609473,33323,33640
79610131,79612103,32922,33894
79612758,79614731,33314,34261
79615386,79617360,33805,33730
79618018,79619989,33067,34101
79620645,79622616,33004,33831
79623271,79625243,33710,34567
79625898,79627871,33697,33612
79628526,79630497,33344,34591
79631154,79633125,33286,34142
79637780,79639754,33336,34381
79640409,79642383,32941,34027
79643040,79645012,33932,34148
79645667,79647638,33842,33491
79648294,79650265,33468,34013
79650920,79652891,33507,33606
79653546,79655517,30654,33638
79656173,79658144,32639,33778
79658799,79660772,33831,34345
79661427,79663398,33878,34443
79664056,79666027,33442,33648
79666682,79668656,33415,33803
79669311,79671284,32541,33372
79671939,79673909,33443,34674
79674565,79676536,33026,34518
79677192,79679163,32484,33896
79683691,79685664,33987,33849
79686320,79688292,33127,34021
79688947,79690918,33585,34145
79691573,79693544,33268,34167
79694199,79696171,33619,33383
79696826,79698797,32565,33194
79699452,79701425,33824,34628
79702082,79704052,32941,33060
79704707,79706678,34021,34378
79707334,79709305,33110,33964
79709961,79711932,33667,34205
79712587,79714558,33019,34079
79715213,79717185,33545,34112
79717841,79719811,33296,33893
79720466,79722437,33258,33823
79723095,79725065,32710,33715
79725721,79727694,33059,33589
79732228,79734201,33367,34096
79734857,79736829,33435,34222
79737485,79739459,33485,34586
79740116,79742087,34033,33811
79742742,79744712,33579,33887
79745366,79747337,33469,33957
79747992,79749965,33441,33913
79750620,79752593,33759,34688
79753249,79755220,33287,34220
79755875,79757848,33770,33514
79758503,79760476,33273,34368
79761133,79763105,32851,34341
79763760,79765731,32698,32754
79766386,79768360,33161,33815
79769017,79770989,32447,32991
79771644,79773614,33505,33199
79778135,79780106,33417,33981
79780761,79782733,33947,33192
79783389,79785360,32992,34172
79786017,79787989,33168,34318
79788644,79790615,31942,33503
79791271,79793242,33312,33467
79793898,79795870,33710,34200
79796526,79798497,33358,34116
79799154,79801125,33902,34221
79801780,79803754,33761,34248
79804409,79806383,34065,34399
79807040,79809010,33443,32802
79809665,79811636,32487,33781
79812292,79814263,33753,33853
79814918,79816890,33318,33690
79817545,79819515,33257,33624
79820171,79822142,33457,34225
79826661,79828632,33351,34186
79829288,79831262,33913,33069
79831917,79833890,32889,33299
79834545,79836516,33536,34447
79837171,79839142,33395,34103
79839798,79841770,32594,34274
79842426,79844398,32983,33857
79845055,79847027,33423,34003
79847682,79849655,33720,33258
79850311,79852284,33989,34598
79852939,79854911,33646,33514
79855566,79857537,32563,34460
79858192,79860163,34001,34729
79860819,79862792,33671,33516
79863447,79865418,33184,33843
79866076,79868048,33075,34005
79872572,79874543,33725,34024
79875198,79877171,33765,33929
79877826,79879797,33443,33947
79880452,79882424,33450,34353
79883080,79885051,33472,33650
79885706,79887679,33301,33259
79888334,79890305,33697,34536
79890960,79892932,32962,33726
79893587,79895558,33891,33462
79896214,79898186,33713,34195
79898841,79900811,32660,34402
79901466,79903437,33165,34484
79904094,79906065,33282,33499
79906720,79908693,32379,33509
79909348,79911319,33116,34377
79911974,79913947,32772,33083
79914602,79916575,32686,34347
79921112,79923087,33632,32858
79923742,79925712,33340,34315
79926368,79928339,32562,34582
79928994,79930967,33168,34521
79931622,79933595,33762,32938
79934250,79936220,33998,33744
79936875,79938848,33011,34581
79939503,79941476,32905,33743
79942133,79944104,32836,33026
79944760,79946731,33158,33904
79947387,79949360,33287,33525
79950017,79951989,32959,33457
79952644,79954615,32243,33850
79955271,79957242,33135,34246
79957897,79959869,33566,33587
79960525,79962497,32968,34572
79966899,79968871,32392,34589
79969527,79971499,33955,34466
79972154,79974125,32742,34150
79974780,79976754,33338,34232
79977409,79979382,33538,34337
79980039,79982011,33260,33811
